CST 2026-07-17 20:03:48.932     0     0 I I00000/HiLog: ========Zeroth log of type: init
CST 2026-07-17 20:05:53.739  4299  4299 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4299 2000 2000] failed
CST 2026-07-17 20:05:53.739  4299  4299 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:05:53.749  4300  4300 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4300 2000 2000] failed
CST 2026-07-17 20:05:53.749  4300  4300 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4300 2000 2000] failed
CST 2026-07-17 20:05:53.749  4300  4300 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:05:53.790   727   891 W C01406/OHOS::RS: RSJankStats::SetJankStats jank frames 17
CST 2026-07-17 20:05:53.790   611   930 W C02515/DISP: [SetLayerMaskInfo:495] <private> is not supported
CST 2026-07-17 20:05:53.790   611   930 I C02515/DISP: [CommitComposeLayer:67] CommitComposeLayer! 10
CST 2026-07-17 20:05:53.796   727   727 E C01406/RSScreenManager: IsAllScreensPowerOff: screenPowerStatus_ is empty.
CST 2026-07-17 20:05:53.840  4297  4301 W C057c1/IPCWorkThread: ThreadHandler: proto:0 policy:1 name:OS_IPC_0_4301 invoker:3998880
CST 2026-07-17 20:05:53.840  4297  4297 I C01303/AATool: [ability_command.cpp249]argv_[0]: aa
CST 2026-07-17 20:05:53.840  4297  4297 I C01303/AATool: [ability_command.cpp249]argv_[1]: start
CST 2026-07-17 20:05:53.840  4297  4297 I C01303/AATool: [ability_command.cpp246]argc greater than 2, ignoring the rest
CST 2026-07-17 20:05:53.840  4297  4303 W C057c1/IPCWorkThread: ThreadHandler: proto:0 policy:0 name:OS_IPC_1_4303 invoker:3999456
CST 2026-07-17 20:05:53.840  4297  4302 I C02d06/XCollie: init default task finished.
CST 2026-07-17 20:05:53.841  4297  4297 I C01303/AATool: [ability_command.cpp1657]option: 97, optopt: 0, optind: 3
CST 2026-07-17 20:05:53.841  4297  4297 I C01303/AATool: [ability_command.cpp1657]option: 98, optopt: 0, optind: 5
CST 2026-07-17 20:05:53.841  4297  4297 I C01303/AATool: [ability_command.cpp1657]option: 109, optopt: 0, optind: 7
CST 2026-07-17 20:05:53.841  4297  4297 I C01303/AATool: [ability_command.cpp1657]option: -1, optopt: 0, optind: 7
CST 2026-07-17 20:05:53.841  4297  4297 I C01336/AMS: [AMC153]StartAbility cn.alfadb.netbird.e3vpnb/EntryAbility, userId:-1, appCloneIndex:-1, requestCode:-1, specifiedFullTokenId:0
CST 2026-07-17 20:05:53.841   728   979 I C01c30/SclockKit: [a92ab11aa1cd65a, 2397b3b, 0] [screenlock_system_ability.cpp(GetSecure:695)]ScreenLockSystemAbility GetSecure started.
CST 2026-07-17 20:05:53.841   728   979 I C02401/USER_IDM_SDK: [a92ab11aa1cd65a, 2397b3b, 0] [GetCredentialInfoSync@user_idm_client_impl.cpp:392] start, userId:100 authType:1
CST 2026-07-17 20:05:53.841   616   627 I C02401/USER_AUTH_SA: [a92ab11aa1cd65a, 2c9e8e, 2397b3b] [CallbackEnter@user_idm_service.cpp:924] start, code:14
CST 2026-07-17 20:05:53.841   616   627 I C02401/USER_AUTH_SA: [a92ab11aa1cd65a, 2c9e8e, 2397b3b] [GetCredentialInfoSync@user_idm_service.cpp:826] start
CST 2026-07-17 20:05:53.842   541   551 I C02411/USER_AUTH_HDI: [a92ab11aa1cd65a, 3302d94, 2c9e8e] [GetCredential@user_auth_interface_service.cpp:1287] start
CST 2026-07-17 20:05:53.842   541   551 I C02411/USER_AUTH_HDI: [a92ab11aa1cd65a, 3302d94, 2c9e8e] QueryCredentialFunc() query credential success
CST 2026-07-17 20:05:53.842   616   627 I C02401/USER_AUTH_SA: [a92ab11aa1cd65a, 2c9e8e, 2397b3b] [GetCredentialInfoInner@user_idm_service.cpp:157] no cred enrolled
CST 2026-07-17 20:05:53.842   616   627 I C02401/USER_AUTH_SA: [a92ab11aa1cd65a, 2c9e8e, 2397b3b] [GetCredentialInfoSync@user_idm_service.cpp:854] GetCredentialInfoSync success, credential num:0
CST 2026-07-17 20:05:53.842   616   627 I C02401/USER_AUTH_SA: [a92ab11aa1cd65a, 2c9e8e, 2397b3b] [CallbackExit@user_idm_service.cpp:930] leave, code:14, result:0
CST 2026-07-17 20:05:53.842   728   979 I C02401/USER_IDM_SDK: [a92ab11aa1cd65a, 2397b3b, 0] [GetCredentialInfoSync@user_idm_client_impl.cpp:417] GetCredentialInfoSync success, credential num:0
CST 2026-07-17 20:05:53.842   728   979 I C01c30/SclockKit: [a92ab11aa1cd65a, 2397b3b, 0] [screenlock_system_ability.cpp(GetSecure:711)]GetCredentialInfo AuthType::PIN result = 0
CST 2026-07-17 20:05:53.842   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [unlock_screen_manager.cpp74]UnlockScreen begin
CST 2026-07-17 20:05:53.843   728   979 I C02901/PowerFwk: [a92ab11aa1cd65a, 2397b3b, 0] IsScreenOn=1, caller pid=728
CST 2026-07-17 20:05:53.843   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [unlock_screen_manager.cpp101]UnlockScreen end
CST 2026-07-17 20:05:53.843   728   979 I C01313/Dialog: [a92ab11aa1cd65a, 2397b3b, 0] [dialog_session_manager.cpp139]not find
CST 2026-07-17 20:05:53.843   728   979 E C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [start_ability_utils.cpp419]nullptr
CST 2026-07-17 20:05:53.843   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [start_ability_utils.cpp54]appIndex:-1
CST 2026-07-17 20:05:53.843   728   979 W C01650/RdbStoreManager: [a92ab11aa1cd65a, 2397b3b, 0] IsConfigInvalidChanged:no bundleName
CST 2026-07-17 20:05:53.843   728   979 E C01650/SilentProxy: [a92ab11aa1cd65a, 2397b3b, 0] IsSupportSilentFromService:GetRdbService failed, err is 27394049.
CST 2026-07-17 20:05:53.844   728   979 I C01650/SqliteConnection: [a92ab11aa1cd65a, 2397b3b, 0] CreateSlaveConnection:slave cfg:[0,1,0,0,1,0,0]bms***.db:<DB,0xc81e4,2748416,100660><DWR,0xc81e5,28672,100660><SHM,0xc81e7,32768,100660><WAL,0xc81e6,0,100660> master:<DB,0xc81de,2748416,100660><DWR,0xc81e0,28672,100660><SHM,0xc81e3,32768,100660><WAL,0xc81e1,0,100660>,[1,0,0,0,1]
CST 2026-07-17 20:05:53.845   728   979 I C01650/SqliteConnection: [a92ab11aa1cd65a, 2397b3b, 0] SetBinlog:binlog: open /***/el1/***/bms***
CST 2026-07-17 20:05:53.845   728   979 I C01631/GaussPD: [a92ab11aa1cd65a, 2397b3b, 0]  [0] [ADAPTER] [140005756107520] Not support binlog_default.readIndex file enable del monitor sysno = 25
CST 2026-07-17 20:05:53.845   728   979 I C01631/GaussPD: [a92ab11aa1cd65a, 2397b3b, 0]  [0] [ADAPTER] [140005756107520] Not support binlog_default.writeIndex file enable del monitor sysno = 25
CST 2026-07-17 20:05:53.846   728   979 I C01650/ConnectionPool: [a92ab11aa1cd65a, 2397b3b, 0] Create:code:0 app[:] area[el1] cfg[0,1,0,0,1,0,0]bms***:<DB,0xc81de,2748416,100660><DWR,0xc81e0,28672,100660><SHM,0xc81e3,32768,100660><WAL,0xc81e1,0,100660>, pathSize:60
CST 2026-07-17 20:05:53.846   728   979 W C01650/RdbStoreImpl: [a92ab11aa1cd65a, 2397b3b, 0] ExchangeSlaverToMaster:exchange st:3, bms***,
CST 2026-07-17 20:05:53.846   728   979 I C01120/BMS: [a92ab11aa1cd65a, 2397b3b, 0] rdb open
CST 2026-07-17 20:05:53.847   728   979 W C01120/BMS: [a92ab11aa1cd65a, 2397b3b, 0] control rule invalid size 0
CST 2026-07-17 20:05:53.847   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [collaborator_util.h70]collaborator is nullptr
CST 2026-07-17 20:05:53.847   728  4304 I C01650/SqliteConnection: CreateSlaveConnection:slave cfg:[0,1,0,0,1,0,0]bms***.db:<DB,0xc81e4,2748416,100660><DWR,0xc81e5,28672,100660><SHM,0xc81e7,32768,100660><WAL,0xc81e6,0,100660> master:<DB,0xc81de,2748416,100660><DWR,0xc81e0,28672,100660><SHM,0xc81e3,32768,100660><WAL,0xc81e1,0,100660>,[1,0,0,0,1]
CST 2026-07-17 20:05:53.847   728   979 W C01123/BMSCommon: [a92ab11aa1cd65a, 2397b3b, 0] uid(2000) invalid
CST 2026-07-17 20:05:53.848   728  4304 I C01650/SqliteConnection: SetBinlog:binlog: open /***/el1/***/bms***
CST 2026-07-17 20:05:53.848   728   979 W C01123/BMSCommon: [a92ab11aa1cd65a, 2397b3b, 0] uid(2000) invalid
CST 2026-07-17 20:05:53.848   728   979 W C01337/EcologicalRule: [a92ab11aa1cd65a, 2397b3b, 0] [ERI235]failed,uid: 2000
CST 2026-07-17 20:05:53.848   728   979 I C01337/EcologicalRule: [a92ab11aa1cd65a, 2397b3b, 0] [ERI286]ERMS's caller{_2000_4297}
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [ADAPTER] [140005739481856] Not support binlog_default.readLock file enable del monitor sysno = 25
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [ADAPTER] [140005739481856] Not support binlog_default.readIndex file enable del monitor sysno = 25
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [ADAPTER] [140005739481856] Not support binlog_default.readIndex file enable del monitor sysno = 25
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [ADAPTER] [140005739481856] Not support binlog_default.writeIndex file enable del monitor sysno = 25
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [ADAPTER] [140005739481856] Not support binlog_default.00000 file enable del monitor sysno = 25
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [ADAPTER] [140005739481856] Not support binlog_default.writeIndex file enable del monitor sysno = 25
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [STORAGE] [140005739481856] |BinlogRead||VerifyReadInfo| read binlog files finish.
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [STORAGE] [140005739481856] |BinlogRead||ProcReadBeginStage| Verify read info and read finish
CST 2026-07-17 20:05:53.848   728  4304 I C01631/GaussPD:  [0] [STORAGE] [140005739481856] |Binlog||BinlogRead| reading all binlog files is complete
CST 2026-07-17 20:05:53.848   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [dialog_session_manager.cpp565]not create clone index
CST 2026-07-17 20:05:53.848   728   979 W C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [ABMS9465]not allow, remove
CST 2026-07-17 20:05:53.849   728   979 E C01300/AAFwk: [a92ab11aa1cd65a, 2397b3b, 0] [permission_verification.cpp120]verify fail
CST 2026-07-17 20:05:53.849   728   979 W C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [ABMS1733]startAbilityInner, remove continueSessionId and persistentId
CST 2026-07-17 20:05:53.849   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [collaborator_util.h44]collaborator is nullptr
CST 2026-07-17 20:05:53.849   728  4304 I C01650/SqliteConnection: CompareWithSlave:equal, main:19,slave:19
CST 2026-07-17 20:05:53.849   728  4304 I C01650/RdbStoreImpl: operator():async exchange st:0,
CST 2026-07-17 20:05:53.849   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [UALM733]Reused sessionId: 0, userId: 100, requestId: 4
CST 2026-07-17 20:05:53.849   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [UALM1736]appCloneIndex:0, instanceKey:, hasStartWindow:0, backgroundColor:, hideStartWindow: 0
CST 2026-07-17 20:05:53.849   728   979 E C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [UALM1141]null
CST 2026-07-17 20:05:53.849   728   979 I C01336/AMS: [a92ab11aa1cd65a, 2397b3b, 0] [UALM1783]scb call, NotifySCBPendingActivation for rootSceneSession, target: EntryAbility
CST 2026-07-17 20:05:53.849  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] DisallowActivationFromPendingBackground: session state:0, isFoundationCall:1, canStartAbilityFromBackground:1, foregroundInteractiveStatus:1, isPendingToBackgroundState:0, isFromAncoAndToAnco:0
CST 2026-07-17 20:05:53.849  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] PendingSessionActivation set reuseDelegatorWindow 0
CST 2026-07-17 20:05:53.849  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] MakeSessionInfoDuringPendingActivation: want: screenId 18446744073709551615
CST 2026-07-17 20:05:53.849  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] CalculateStartWindowType: only same app in pc or pcMode.
CST 2026-07-17 20:05:53.849  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] MakeSessionInfoDuringPendingActivation: bundleName:cn.alfadb.netbird.e3vpnb, moduleName:entry, abilityName:EntryAbility,appIndex:0, affinity:. callState:0, want persistentId:0,uiAbilityId:0, windowMode:0, callerId:2,needClearInNotShowRecent:0, appInstanceKey: ,supportedWindowModes.size:0, requestId:4,maxWindowWidth:0, minWindowWidth:0, maxWindowHeight:0, minWindowHeight:0, startWindowType:0, isPrelaunch:0, frameNum:0,isTargetPlugin:0, hostBundleName:
CST 2026-07-17 20:05:53.849   728  1097 W C01123/BMSCommon: [a92ab11aa1cd65a, 788ec0, 2397b3b] uid(5523) invalid
CST 2026-07-17 20:05:53.849  2205  2275 E C04201/DMS: [a92ab11aa1cd65a, c18c2f, 388f595] GetVirtualScreenFlag: screenId invalid
CST 2026-07-17 20:05:53.849  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] PendingSessionActivation: id:0,bundleName:cn.alfadb.netbird.e3vpnb,moduleName:entry,abilityName:EntryAbility,appIndex:0,reuse:1,requestId:4,specifiedFlag:,prelaunch:0,frameNum:0
CST 2026-07-17 20:05:53.850  4297  4297 I C01303/AATool: [ability_command.cpp465]start ability successfully.
CST 2026-07-17 20:05:53.850  2205  2275 W C04200/WMS: [a92ab11aa1cd65a, c18c2f, 388f595] CheckIfReuseSession: checked not collaborator!
CST 2026-07-17 20:05:53.850  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] GenSceneSession: SceneSession not exist, request a new one.
CST 2026-07-17 20:05:53.850  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] GetSceneSessionBySessionInfo: mainWindow bundleName: cn.alfadb.netbird.e3vpnb, moduleName: entry, abilityName: EntryAbility, appIndex: 0, appInstanceKey:, isAtomicService:0
CST 2026-07-17 20:05:53.850  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] RequestSceneSession: appName: [cn.alfadb.netbird.e3vpnb entry EntryAbility] appIndex 0, type 1 system 0, isPersistentRecover 0, isAbilityHook 0
CST 2026-07-17 20:05:53.850  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] GeneratePersistentId: persistentId: 0, persistentId_: 31
CST 2026-07-17 20:05:53.850  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] SceneSession: Create session, id: 31
CST 2026-07-17 20:05:53.850  2205  2275 I C04202/WMSMain: [a92ab11aa1cd65a, c18c2f, 388f595] CreateSceneSession: Create MainSession, id: 31
CST 2026-07-17 20:05:53.850  2205  2275 I C04208/WMSLayout: [a92ab11aa1cd65a, c18c2f, 388f595] GetAppDragResizeTypeInner: dragResizeType: 1, bundleName: cn.alfadb.netbird.e3vpnb
CST 2026-07-17 20:05:53.850  2205  2275 I C0421a/WMSLayoutPc: [a92ab11aa1cd65a, c18c2f, 388f595] SetDragKeyFramePolicy: set keyframe policy from outside: [0 1000 1000 100 100 0 0]
CST 2026-07-17 20:05:53.850  2205  2275 I C04217/WMSAttribute: [a92ab11aa1cd65a, c18c2f, 388f595] CreateSceneSession: winId: 31, displayId: 0
CST 2026-07-17 20:05:53.850  2205  2275 I C04204/WMSScb: [a92ab11aa1cd65a, c18c2f, 388f595] SetBufferAvailable: id: 31, type: 1
CST 2026-07-17 20:05:53.850  2205  2275 I C04200/WMS: [a92ab11aa1cd65a, c18c2f, 388f595] RemoveTask: Task is not existed, name=ClearSnapshotPersistence31
CST 2026-07-17 20:05:53.850  2205  2275 I C04204/WMSScb: [a92ab11aa1cd65a, c18c2f, 388f595] GetRSUIContext: : RSUIContext is null, sessionId: 31, screenId:18446744073709551615
CST 2026-07-17 20:05:53.850  2205  2275 E C04204/WMSScb: [a92ab11aa1cd65a, c18c2f, 388f595] SetRSUIContext: RSNode is null
CST 2026-07-17 20:05:53.850  2205  2275 I C04217/WMSAttribute: [a92ab11aa1cd65a, c18c2f, 388f595] InitSceneSession: synchronous screenId with displayId 18446744073709551615
CST 2026-07-17 20:05:53.850  2205  4280 I C04216/WMSPattern: [a92ab11aa1cd65a, b15411, c18c2f] operator(): ClearSnapshotPersistence, 31
CST 2026-07-17 20:05:53.850  2205  2275 I C0421b/WMSStartupPage: [a92ab11aa1cd65a, c18c2f, 388f595] GetEnableRemoveStartingWindowFromBMS: enable.remove.starting.window default false
CST 2026-07-17 20:05:53.850  2205  2275 I C04202/WMSMain: [a92ab11aa1cd65a, c18c2f, 388f595] FillSessionInfo: bundleName:cn.alfadb.netbird.e3vpnb removeMissionAfterTerminate:0 excludeFromMissions:0 label:$string:ability_name iconPath:$media:app_icon collaboratorType:/data/app/el1/bundle/public/cn.alfadb.netbird.e3vpnb.
CST 2026-07-17 20:05:53.851  2205  2275 I C04201/DMS: [a92ab11aa1cd65a, c18c2f, 388f595] Notify ability EntryAbility bundle cn.alfadb.netbird.e3vpnb update toScreen id: 18446744073709551615
CST 2026-07-17 20:05:53.851  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] RequestSceneSession: id: 31, type: 1, instanceKey: , displayId: 18446744073709551615
CST 2026-07-17 20:05:53.851  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] SetDefaultDisplayIdIfNeed: winId: 31, update screen id 0
CST 2026-07-17 20:05:53.851  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] PendingSessionActivation: session: 31 isNeedBackToOther: 0
CST 2026-07-17 20:05:53.851  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] AddRequestTaskInfo: persistentId:31, requestId:4, infoMap size:1, wantMap size:1
CST 2026-07-17 20:05:53.851  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] PostLifeCycleTask: Add task PendingSessionActivation to life cycle queue, PersistentId=31
CST 2026-07-17 20:05:53.851  2205  2275 I C0420a/WMSLife: [a92ab11aa1cd65a, c18c2f, 388f595] SetLifeCycleTaskRunning: Execute LifeCycleTask PendingSessionActivation. PersistentId: 31
CST 2026-07-17 20:05:53.851  2205  2205 I C0420a/WMSLife: [a92ab11aa1cd65a, 306ab58, c18c2f] operator(): pend active success, id:31
CST 2026-07-17 20:05:53.851  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBRootSceneSession: SCBRootSceneSession pendingSceneSessionActivation begin
CST 2026-07-17 20:05:53.851  2205  2205 E A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] [SCBMission]SCBSceneMissionManager: findMainSessionGlobalById error, not exist.
CST 2026-07-17 20:05:53.851  2205  2205 E A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:1] invalid persistentId
CST 2026-07-17 20:05:53.851  2205  2205 E A0420a/WMSLife: [a92ab11aa1cd65a, 306ab58, c18c2f] error items in container session.
CST 2026-07-17 20:05:53.852  2205  2205 I A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:1] get none existing session.
CST 2026-07-17 20:05:53.852  2205  2205 E A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:2] invalid persistentId
CST 2026-07-17 20:05:53.852  2205  2205 I A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:2] get none existing session.
CST 2026-07-17 20:05:53.852  2205  2205 I A04223/SCBMain: [a92ab11aa1cd65a, 306ab58, c18c2f] no exist container session match the info to be found.
CST 2026-07-17 20:05:53.852  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBRootSceneSession: onPendingSceneSessionActivation sceneInfo.persistentId:31 callState: 0 callerPersistentId: 0 windowMode: 0 appIndex: 0 needClearInNotShowRecent: falsedeviceTypes:  resizable: 0 supportWindowMode:  isPreloadStart: undefined
CST 2026-07-17 20:05:53.852  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBRootSceneSession: onPendingSceneSessionActivation sceneInfo.screenName:UNKNOWN
CST 2026-07-17 20:05:53.853  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBRootSceneSession: fileManagerMode: , extraFormIdentity: 
CST 2026-07-17 20:05:53.853  2205  2205 W A04223/SCBMain: [a92ab11aa1cd65a, 306ab58, c18c2f] startSceneFromOther:{persistentId:31, screenId: 0, bundleInfo:EntryAbility/cn.alfadb.netbird.e3vpnb/entry/0, unclearableSession:undefined, callerPersistentId:0, callerAbilityName: , toPersistentId:0, launchType:0, isNewInstance:false, fullScreenStart:false, _windowMode:1, isAppUseControl:undefined, isUnclearableInRecent:undefined, focusedOnShow:true, isAtomicService:falseisStartupInstallFree:false, isNewAppInstance:false, appInstanceKey:}, startMode:1, forceStart:null, forceNewWant:null
CST 2026-07-17 20:05:53.853  2205  2205 W A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBSSM: isExclusion, app startup detect
CST 2026-07-17 20:05:53.853  2205  2205 I A01b01/HOME: [a92ab11aa1cd65a, 306ab58, c18c2f] SampleManager: isSampleMg: false
CST 2026-07-17 20:05:53.853  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBSSM: SCBSSM
CST 2026-07-17 20:05:53.853  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBSSM: SCBSSM
CST 2026-07-17 20:05:53.853  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBSSM: Start scene on screen with screenId: 0!
CST 2026-07-17 20:05:53.853  2205  2205 W A01b01/HOME: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBSPVM: [SCBMain][id:31][sceneInfo:cn.alfadb.netbird.e3vpnb/entry/EntryAbility/0][screenId:0]onStartSceneFromOther.
CST 2026-07-17 20:05:53.853  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] SCBMultiWindowUtils: interceptStartSceneFromDockForCompatibleMultiWindow skip, not start from dock to float
CST 2026-07-17 20:05:53.854  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] [SCBMission]SCBSceneMissionManager: Not find mainSession tuple global by persistentId
CST 2026-07-17 20:05:53.854  2205  2205 I A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:1] get none existing session.
CST 2026-07-17 20:05:53.854  2205  2205 E A0420a/WMSLife: [a92ab11aa1cd65a, 306ab58, c18c2f] error items in container session.
CST 2026-07-17 20:05:53.854  2205  2205 I A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:1] get none existing session.
CST 2026-07-17 20:05:53.854  2205  2205 I A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:2] get none existing session.
CST 2026-07-17 20:05:53.854  2205  2205 I A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:2] get none existing session.
CST 2026-07-17 20:05:53.854  2205  2205 I A04223/SCBMain: [a92ab11aa1cd65a, 306ab58, c18c2f] no exist container session match the info to be found.
CST 2026-07-17 20:05:53.854  2205  2205 I A04200/WINDOW: [a92ab11aa1cd65a, 306ab58, c18c2f] [SCBMission]SCBTvCastMissionHandler: null session not on cast, ignore intercept
CST 2026-07-17 20:05:53.854  2205  2205 I A04222/WMSMission: [a92ab11aa1cd65a, 306ab58, c18c2f] [Screen:0][Panel:1] get none existing session.
CST 2026-07-17 20:05:53.854  2205  2205 E A0420a/WMSLife: [a92ab11aa1cd65a, 306ab58, c18c2f] error items in container session.
