CST 2026-07-17 20:03:48.932     0     0 I I00000/HiLog: ========Zeroth log of type: init
CST 2026-07-17 20:06:29.793  5196  5196 I C01303/AATool: [ability_command.cpp249]argv_[0]: aa
CST 2026-07-17 20:06:29.793  5196  5203 W C057c1/IPCWorkThread: ThreadHandler: proto:0 policy:1 name:OS_IPC_0_5203 invoker:9733280
CST 2026-07-17 20:06:29.793  5196  5196 I C01303/AATool: [ability_command.cpp249]argv_[1]: start
CST 2026-07-17 20:06:29.793  5196  5196 I C01303/AATool: [ability_command.cpp246]argc greater than 2, ignoring the rest
CST 2026-07-17 20:06:29.793  5196  5204 I C02d06/XCollie: init default task finished.
CST 2026-07-17 20:06:29.793  5196  5205 W C057c1/IPCWorkThread: ThreadHandler: proto:0 policy:0 name:OS_IPC_1_5205 invoker:9733856
CST 2026-07-17 20:06:29.794  5196  5196 I C01303/AATool: [ability_command.cpp1657]option: 97, optopt: 0, optind: 3
CST 2026-07-17 20:06:29.794  5196  5196 I C01303/AATool: [ability_command.cpp1657]option: 98, optopt: 0, optind: 5
CST 2026-07-17 20:06:29.794  5196  5196 I C01303/AATool: [ability_command.cpp1657]option: 109, optopt: 0, optind: 7
CST 2026-07-17 20:06:29.794  5196  5196 I C01303/AATool: [ability_command.cpp1657]option: -1, optopt: 0, optind: 7
CST 2026-07-17 20:06:29.794  5196  5196 I C01336/AMS: [AMC153]StartAbility cn.alfadb.netbird.e3vpna/EntryAbility, userId:-1, appCloneIndex:-1, requestCode:-1, specifiedFullTokenId:0
CST 2026-07-17 20:06:29.794   728   797 I C01c30/SclockKit: [a92ab11ac5c1ed5, 48cf26, 0] [screenlock_system_ability.cpp(GetSecure:695)]ScreenLockSystemAbility GetSecure started.
CST 2026-07-17 20:06:29.794   728   797 I C02401/USER_IDM_SDK: [a92ab11ac5c1ed5, 48cf26, 0] [GetCredentialInfoSync@user_idm_client_impl.cpp:392] start, userId:100 authType:1
CST 2026-07-17 20:06:29.794   616   627 I C02401/USER_AUTH_SA: [a92ab11ac5c1ed5, 1489ebf, 48cf26] [CallbackEnter@user_idm_service.cpp:924] start, code:14
CST 2026-07-17 20:06:29.794   616   627 I C02401/USER_AUTH_SA: [a92ab11ac5c1ed5, 1489ebf, 48cf26] [GetCredentialInfoSync@user_idm_service.cpp:826] start
CST 2026-07-17 20:06:29.795   541   551 I C02411/USER_AUTH_HDI: [a92ab11ac5c1ed5, d1e235, 1489ebf] [GetCredential@user_auth_interface_service.cpp:1287] start
CST 2026-07-17 20:06:29.795   541   551 I C02411/USER_AUTH_HDI: [a92ab11ac5c1ed5, d1e235, 1489ebf] QueryCredentialFunc() query credential success
CST 2026-07-17 20:06:29.795   616   627 I C02401/USER_AUTH_SA: [a92ab11ac5c1ed5, 1489ebf, 48cf26] [GetCredentialInfoInner@user_idm_service.cpp:157] no cred enrolled
CST 2026-07-17 20:06:29.795   616   627 I C02401/USER_AUTH_SA: [a92ab11ac5c1ed5, 1489ebf, 48cf26] [GetCredentialInfoSync@user_idm_service.cpp:854] GetCredentialInfoSync success, credential num:0
CST 2026-07-17 20:06:29.795   616   627 I C02401/USER_AUTH_SA: [a92ab11ac5c1ed5, 1489ebf, 48cf26] [CallbackExit@user_idm_service.cpp:930] leave, code:14, result:0
CST 2026-07-17 20:06:29.795   728   797 I C02401/USER_IDM_SDK: [a92ab11ac5c1ed5, 48cf26, 0] [GetCredentialInfoSync@user_idm_client_impl.cpp:417] GetCredentialInfoSync success, credential num:0
CST 2026-07-17 20:06:29.795   728   797 I C01c30/SclockKit: [a92ab11ac5c1ed5, 48cf26, 0] [screenlock_system_ability.cpp(GetSecure:711)]GetCredentialInfo AuthType::PIN result = 0
CST 2026-07-17 20:06:29.795   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [unlock_screen_manager.cpp74]UnlockScreen begin
CST 2026-07-17 20:06:29.796   728   797 I C02901/PowerFwk: [a92ab11ac5c1ed5, 48cf26, 0] IsScreenOn=1, caller pid=728
CST 2026-07-17 20:06:29.796   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [unlock_screen_manager.cpp101]UnlockScreen end
CST 2026-07-17 20:06:29.796   728   797 I C01313/Dialog: [a92ab11ac5c1ed5, 48cf26, 0] [dialog_session_manager.cpp139]not find
CST 2026-07-17 20:06:29.796   728   797 E C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [start_ability_utils.cpp419]nullptr
CST 2026-07-17 20:06:29.796   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [start_ability_utils.cpp54]appIndex:-1
CST 2026-07-17 20:06:29.796   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [collaborator_util.h70]collaborator is nullptr
CST 2026-07-17 20:06:29.796   728   797 W C01123/BMSCommon: [a92ab11ac5c1ed5, 48cf26, 0] uid(2000) invalid
CST 2026-07-17 20:06:29.797   728   797 W C01123/BMSCommon: [a92ab11ac5c1ed5, 48cf26, 0] uid(2000) invalid
CST 2026-07-17 20:06:29.797   728   797 W C01337/EcologicalRule: [a92ab11ac5c1ed5, 48cf26, 0] [ERI235]failed,uid: 2000
CST 2026-07-17 20:06:29.797   728   797 I C01337/EcologicalRule: [a92ab11ac5c1ed5, 48cf26, 0] [ERI286]ERMS's caller{_2000_5196}
CST 2026-07-17 20:06:29.797   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [dialog_session_manager.cpp565]not create clone index
CST 2026-07-17 20:06:29.797   728   797 W C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [ABMS9465]not allow, remove
CST 2026-07-17 20:06:29.797   728   797 E C01300/AAFwk: [a92ab11ac5c1ed5, 48cf26, 0] [permission_verification.cpp120]verify fail
CST 2026-07-17 20:06:29.797   728   797 W C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [ABMS1733]startAbilityInner, remove continueSessionId and persistentId
CST 2026-07-17 20:06:29.797   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [collaborator_util.h44]collaborator is nullptr
CST 2026-07-17 20:06:29.797   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [UALM733]Reused sessionId: 0, userId: 100, requestId: 6
CST 2026-07-17 20:06:29.797   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [UALM1736]appCloneIndex:0, instanceKey:, hasStartWindow:0, backgroundColor:, hideStartWindow: 0
CST 2026-07-17 20:06:29.797   728   797 E C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [UALM1141]null
CST 2026-07-17 20:06:29.797   728   797 I C01336/AMS: [a92ab11ac5c1ed5, 48cf26, 0] [UALM1783]scb call, NotifySCBPendingActivation for rootSceneSession, target: EntryAbility
CST 2026-07-17 20:06:29.798   728  1082 W C01123/BMSCommon: [a92ab11ac5c1ed5, bd318c, 48cf26] uid(5523) invalid
CST 2026-07-17 20:06:29.798  5196  5196 I C01303/AATool: [ability_command.cpp465]start ability successfully.
CST 2026-07-17 20:06:29.798  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] DisallowActivationFromPendingBackground: session state:0, isFoundationCall:1, canStartAbilityFromBackground:1, foregroundInteractiveStatus:1, isPendingToBackgroundState:0, isFromAncoAndToAnco:0
CST 2026-07-17 20:06:29.798  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] PendingSessionActivation set reuseDelegatorWindow 0
CST 2026-07-17 20:06:29.798  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] MakeSessionInfoDuringPendingActivation: want: screenId 18446744073709551615
CST 2026-07-17 20:06:29.798  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] CalculateStartWindowType: only same app in pc or pcMode.
CST 2026-07-17 20:06:29.798  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] MakeSessionInfoDuringPendingActivation: bundleName:cn.alfadb.netbird.e3vpna, moduleName:entry, abilityName:EntryAbility,appIndex:0, affinity:. callState:0, want persistentId:0,uiAbilityId:0, windowMode:0, callerId:2,needClearInNotShowRecent:0, appInstanceKey: ,supportedWindowModes.size:0, requestId:6,maxWindowWidth:0, minWindowWidth:0, maxWindowHeight:0, minWindowHeight:0, startWindowType:0, isPrelaunch:0, frameNum:0,isTargetPlugin:0, hostBundleName:
CST 2026-07-17 20:06:29.798  2205  2275 E C04201/DMS: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] GetVirtualScreenFlag: screenId invalid
CST 2026-07-17 20:06:29.798  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] PendingSessionActivation: id:0,bundleName:cn.alfadb.netbird.e3vpna,moduleName:entry,abilityName:EntryAbility,appIndex:0,reuse:1,requestId:6,specifiedFlag:,prelaunch:0,frameNum:0
CST 2026-07-17 20:06:29.799  2205  2275 W C04200/WMS: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] CheckIfReuseSession: checked not collaborator!
CST 2026-07-17 20:06:29.799  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] PendingSessionActivation: session: 30 isNeedBackToOther: 0
CST 2026-07-17 20:06:29.799  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] AddRequestTaskInfo: persistentId:30, requestId:6, infoMap size:1, wantMap size:1
CST 2026-07-17 20:06:29.799  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] PostLifeCycleTask: Add task PendingSessionActivation to life cycle queue, PersistentId=30
CST 2026-07-17 20:06:29.799  2205  2275 I C0420a/WMSLife: [a92ab11ac5c1ed5, 41d2cf, 2ded4af] SetLifeCycleTaskRunning: Execute LifeCycleTask PendingSessionActivation. PersistentId: 30
CST 2026-07-17 20:06:29.799  2205  2205 I C0420a/WMSLife: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] operator(): pend active success, id:30
CST 2026-07-17 20:06:29.799  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBRootSceneSession: SCBRootSceneSession pendingSceneSessionActivation begin
CST 2026-07-17 20:06:29.799  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBRootSceneSession: onPendingSceneSessionActivation sceneInfo.persistentId:30 callState: 0 callerPersistentId: 0 windowMode: 0 appIndex: 0 needClearInNotShowRecent: falsedeviceTypes:  resizable: 0 supportWindowMode:  isPreloadStart: undefined
CST 2026-07-17 20:06:29.799  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBRootSceneSession: onPendingSceneSessionActivation sceneInfo.screenName:UNKNOWN
CST 2026-07-17 20:06:29.800  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBRootSceneSession: fileManagerMode: , extraFormIdentity: 
CST 2026-07-17 20:06:29.800  2205  2205 W A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] startSceneFromOther:{persistentId:30, screenId: 0, bundleInfo:EntryAbility/cn.alfadb.netbird.e3vpna/entry/0, unclearableSession:undefined, callerPersistentId:0, callerAbilityName: , toPersistentId:0, launchType:0, isNewInstance:false, fullScreenStart:false, _windowMode:1, isAppUseControl:undefined, isUnclearableInRecent:undefined, focusedOnShow:true, isAtomicService:falseisStartupInstallFree:false, isNewAppInstance:false, appInstanceKey:}, startMode:1, forceStart:null, forceNewWant:null
CST 2026-07-17 20:06:29.800  2205  2205 W A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: isExclusion, app startup detect
CST 2026-07-17 20:06:29.800  2205  2205 I A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SampleManager: isSampleMg: false
CST 2026-07-17 20:06:29.800  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: SCBSSM
CST 2026-07-17 20:06:29.800  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: SCBSSM
CST 2026-07-17 20:06:29.800  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: Start scene on screen with screenId: 0!
CST 2026-07-17 20:06:29.801  2205  2205 W A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSPVM: [SCBMain][id:30][sceneInfo:cn.alfadb.netbird.e3vpna/entry/EntryAbility/0][screenId:0]onStartSceneFromOther.
CST 2026-07-17 20:06:29.801  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBMultiWindowUtils: interceptStartSceneFromDockForCompatibleMultiWindow skip, not start from dock to float
CST 2026-07-17 20:06:29.801  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [SCBMission]SCBTvCastMissionHandler: session will go destroy, ignore intercept
CST 2026-07-17 20:06:29.801  2205  2205 I A04222/WMSMission: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [Screen:0][Panel:1] get existing session from usage-total list.
CST 2026-07-17 20:06:29.801  2205  2205 E A04222/WMSMission: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [Screen:0][Panel:1] invalid persistentId
CST 2026-07-17 20:06:29.801  2205  2205 E A0420a/WMSLife: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] error items in container session.
CST 2026-07-17 20:06:29.801  2205  2205 E A0420a/WMSLife: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] error items in container session.
CST 2026-07-17 20:06:29.801  2205  2205 I A04222/WMSMission: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [Screen:0][Panel:1] get none existing session.
CST 2026-07-17 20:06:29.801  2205  2205 E A04222/WMSMission: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [Screen:0][Panel:2] invalid persistentId
CST 2026-07-17 20:06:29.801  2205  2205 I A04222/WMSMission: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [Screen:0][Panel:2] get none existing session.
CST 2026-07-17 20:06:29.801  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] no exist container session match the info to be found.
CST 2026-07-17 20:06:29.801  2205  2205 W A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSPVM: onStartSceneFromOther cardId empty isStartCard=false
CST 2026-07-17 20:06:29.801  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [id:30][screenId:0]requestSceneSession, callerPersistentId:0, needLinkCaller:true
CST 2026-07-17 20:06:29.801  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] find sceneSession from other screen
CST 2026-07-17 20:06:29.802  2205  2205 I A04222/WMSMission: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [Screen:0][Panel:1] get existing session from usage-total list.
CST 2026-07-17 20:06:29.802  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: popSceneFromOtherScreen toScreen: 0, needBackground: trueneedRefreshFocus: true, needUpdateScreenId: true,persistentId:30
CST 2026-07-17 20:06:29.802  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [SCBMission]SCBSceneMissionManager: popSceneFromOtherScreenByPersistentId sceneSession on targetScreen, ignored
CST 2026-07-17 20:06:29.802  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: isProjectionBundleName bundleName = cn.alfadb.netbird.e3vpna, screenId = 0
CST 2026-07-17 20:06:29.802  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] requestSceneSession using exist persistentId: 30
CST 2026-07-17 20:06:29.802  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] getSceneSessionByPersistentId from containerSessionList id: 30
CST 2026-07-17 20:06:29.802  2205  4281 I C04216/WMSPattern: [a92ab11ac5c1ed5, 146e720, 182d8bc] GetCallerSessionColorMode: bundle cn.alfadb.netbird.e3vpna, caller 
CST 2026-07-17 20:06:29.802  2205  4281 I C04216/WMSPattern: [a92ab11ac5c1ed5, 146e720, 182d8bc] GetIsDarkFromConfiguration: colorMode: light
CST 2026-07-17 20:06:29.802  2205  4281 I C04216/WMSPattern: [a92ab11ac5c1ed5, 146e720, 182d8bc] GetIsDarkFromConfiguration: colorMode: light
CST 2026-07-17 20:06:29.802  2205  4281 I C04216/WMSPattern: [a92ab11ac5c1ed5, 146e720, 182d8bc] GetStartWindowColorFollowApp: follow sys: cn.alfadb.netbird.e3vpna
CST 2026-07-17 20:06:29.802  2205  4281 W C04216/WMSPattern: [a92ab11ac5c1ed5, 146e720, 182d8bc] GetStartingWindowInfoFromCache: fff2f6f8, resource:///16777217.svg, 0, , 0
CST 2026-07-17 20:06:29.802  2205  4281 I C04216/WMSPattern: [a92ab11ac5c1ed5, 146e720, 182d8bc] SetPreloadStartingWindow: svgBufferInfo 30
CST 2026-07-17 20:06:29.803  2205  4281 I C04216/WMSPattern: [a92ab11ac5c1ed5, 146e720, 182d8bc] PreLoadStartingWindow session 30, isSvg 1
CST 2026-07-17 20:06:29.803  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSPVM: getSceneContainerSessionWithPersistentId from containerSessionList id: 30
CST 2026-07-17 20:06:29.803  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBPiPManager: resetContainerWithStartSceneIfNeed containerId: 1oneShotContainerId: -1 startingContainerId: 1
CST 2026-07-17 20:06:29.803  2205  2205 I A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSPVM: postStartSceneFromOtherEvent: cn.alfadb.netbird.e3vpna + EntryAbility
CST 2026-07-17 20:06:29.803  2205  2205 I A01a01/NC: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] DropdownPanelView: OnStartSceneFromOtherEvent. for cn.alfadb.netbird.e3vpna isStartingByNtfItemClick
CST 2026-07-17 20:06:29.803  2205  2205 I A01a00/SYS_UI: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] ViewManagerAdapter: isViewShowing viewType 20
CST 2026-07-17 20:06:29.803  2205  2205 W A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSplitViewAnimationManager: BackAndOneSplitAnimationBreak containerSession is not availiable
CST 2026-07-17 20:06:29.803  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSPVM: GuidanceLog set unNeedKnowMore
CST 2026-07-17 20:06:29.803  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBMultiWindowUtils: CUBE GuidanceLog isNeedKnowMore false
CST 2026-07-17 20:06:29.803  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSplitManager: interruptStartSceneForSplit scenePanelState is 0 not SPLIT
CST 2026-07-17 20:06:29.803  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSPVM: getSceneContainerSessionWithPersistentId from containerSessionList id: 30
CST 2026-07-17 20:06:29.803  2205  2205 I A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBTM: findTransitionController. bundleName: cn.alfadb.netbird.e3vpna, overlayBundleName: undefined
CST 2026-07-17 20:06:29.803  2205  2205 W A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] PageDesktopModel: findTransitionController shortcutId empty bundleName:cn.alfadb.netbird.e3vpna
CST 2026-07-17 20:06:29.803  2205  2205 W A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] PageDesktopModel: findTransitionController bundleName: cn.alfadb.netbird.e3vpna, abilityName: EntryAbility, startType: 0, formCardId: undefined, cardId: undefined, extraId: undefined, appIndex: 0, shortcutId: undefined, appInstanceKey: %{public}s
CST 2026-07-17 20:06:29.803  2205  2205 W A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBTM: Find controller success ? true, findData: {"bundleName":"cn.alfadb.netbird.e3vpna","abilityName":"EntryAbility","appIndex":0,"appIconId":"","iconRadius":0,"appIconNumber":0,"startAppType":0,"isOpenFolder":false}
CST 2026-07-17 20:06:29.804  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBFloatManager: isAtomicServiceFloatScene: notSupportAtomicServiceFloatScene
CST 2026-07-17 20:06:29.804  2205  2205 I A01b00/SCB: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] LuoShuStateManager --> getLuoShuStateInfo: report {"luoShuState":0,"scenePanelState":0,"eventType":-1,"screenInfo":{"isLandscape":false,"foldState":1},"screenId":0,"holdingHandStatus":1}
CST 2026-07-17 20:06:29.804  2205  2205 E C03f05/NAPI: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] DfxCollectStackWithDepth is not loaded in taskpool/worker.
CST 2026-07-17 20:06:29.804  2205  2205 I C03f05/NAPI: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] taskpool:: taskId 3571530702 in seqRunner 140488421640128 immediately.
CST 2026-07-17 20:06:29.804  2205  2240 I C03f05/NAPI: taskpool:: Task Perform: j71, 3571530702, runningLoop: 140487977523824
CST 2026-07-17 20:06:29.804  2205  2205 W A01b01/HOME: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSPVM: [SCBMain]onStartSceneFromOther isNewWant false. StartApp:cn.alfadb.netbird.e3vpna
CST 2026-07-17 20:06:29.804  2205  2205 I A01b00/SCB: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] LuoShuStateManager --> getLuoShuStateInfo: SCBSPVM {"luoShuState":0,"scenePanelState":0,"eventType":-1,"screenInfo":{"isLandscape":false,"foldState":1},"screenId":0,"holdingHandStatus":1}
CST 2026-07-17 20:06:29.805  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [id:30][screenId:0]requestSceneSession, callerPersistentId:0, needLinkCaller:true
CST 2026-07-17 20:06:29.805  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] find sceneSession from other screen
CST 2026-07-17 20:06:29.805  2205  2205 I A04222/WMSMission: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [Screen:0][Panel:1] get existing session from usage-total list.
CST 2026-07-17 20:06:29.805  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: popSceneFromOtherScreen toScreen: 0, needBackground: trueneedRefreshFocus: true, needUpdateScreenId: true,persistentId:30
CST 2026-07-17 20:06:29.805  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [SCBMission]SCBSceneMissionManager: popSceneFromOtherScreenByPersistentId sceneSession on targetScreen, ignored
CST 2026-07-17 20:06:29.805  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: isProjectionBundleName bundleName = cn.alfadb.netbird.e3vpna, screenId = 0
CST 2026-07-17 20:06:29.805  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] requestSceneSession using exist persistentId: 30
CST 2026-07-17 20:06:29.805  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] getSceneSessionByPersistentId from containerSessionList id: 30
CST 2026-07-17 20:06:29.805  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSPVM: getSceneContainerSessionWithPersistentId from containerSessionList id: 30
CST 2026-07-17 20:06:29.805  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [id:30][screenId:0]requestSceneSession, callerPersistentId:0, needLinkCaller:true
CST 2026-07-17 20:06:29.805  2205  2205 I A04223/SCBMain: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] find sceneSession from other screen
CST 2026-07-17 20:06:29.805  2205  2205 I A04222/WMSMission: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [Screen:0][Panel:1] get existing session from usage-total list.
CST 2026-07-17 20:06:29.805  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] SCBSSM: popSceneFromOtherScreen toScreen: 0, needBackground: trueneedRefreshFocus: true, needUpdateScreenId: true,persistentId:30
CST 2026-07-17 20:06:29.805  2205  2205 I A04200/WINDOW: [a92ab11ac5c1ed5, 182d8bc, 41d2cf] [SCBMission]SCBSceneMissionManager: popSceneFromOtherScreenByPersistentId sceneSession on targetScreen, ignored
